year,data_mean_global,data_mean_nh,data_mean_sh
2015,399.94932103231,401.67827247702,398.220369587599
2016,403.116962767974,405.109985134223,401.123940401724
2017,405.742962221669,407.765432471682,403.720491971656
2018,408.55696203459,410.589517698496,406.524406370683
2019,411.339961618954,413.394922177398,409.285001060511
2020,414.100961283413,416.174007525677,412.027915041148
2021,416.842961428652,418.908178090443,414.777744766861
2022,419.543961654033,421.597029524634,417.490893783431
2023,422.181961879406,424.222880958818,420.141042799994
2024,424.762962104793,426.791732393016,422.73419181657
2025,427.290962330194,429.307583827228,425.27434083316
2026,429.768962555521,431.773435261366,427.764489849677
2027,432.198962780898,434.191286695553,430.206638866243
2028,434.584963006325,436.565138129791,432.604787882859
2029,436.926963231702,438.894989563979,434.958936899425
2030,439.225963513926,441.178779591987,437.273147435864
2031,441.483964136863,443.403201182554,439.564727091173
2032,443.687964816555,445.570561366848,441.805368266263
2033,445.826965496367,447.672921551262,443.981009441472
2034,447.902966176033,449.71228173553,446.093650616535
2035,449.916966855818,451.689641919918,448.144291791719
2036,451.870967535532,453.607002104234,450.13493296683
2037,453.765968215321,455.465362288625,452.066574142016
2038,455.602968895034,457.265722472941,453.940215317127
2039,457.382969574744,459.009082657253,455.756856492235
2040,459.106970276891,460.695234657822,457.518705895961
2041,460.776971113548,462.320137555814,459.233804671282
2042,462.385971972641,463.882832270061,460.889111675221
2043,463.926972831675,465.377526984249,462.476418679101
2044,465.401973690786,466.806221698514,463.997725683058
2045,466.812974549767,468.17091641265,465.455032686885
2046,468.158975408826,469.470611126863,466.847339690789
2047,469.441976267935,470.707305841127,468.176646694744
2048,470.661977126979,471.881000555324,469.442953698633
2049,471.819977985985,472.992695269484,470.647260702485
2050,472.916978832629,474.044059034413,471.789898630845
2051,473.951979604853,475.0374371037,472.866522106005
2052,474.945980364627,475.990484223668,473.901476505585
2053,475.91698112433,476.920531343565,474.913430905095
2054,476.862981884087,477.825578463516,475.900385304658
2055,477.78398264393,478.705625583553,476.862339704307
2056,478.676983403629,479.557672703446,477.796294103812
2057,479.543984163415,480.383719823426,478.704248503404
2058,480.381984923131,481.180766943336,479.583202902927
