"modname" "year_1.5" "conc_1.5" "year_2" "conc_2" "year_3" "conc_3" "year_4" "conc_4"
"1" "CanESM5" 2012 393.015991210938 2022 419.543961654033 2045 466.812974549767 NA NA
"2" "CNRM-ESM2-1" 2044 465.401973690786 2073 489.645996374285 NA NA NA NA
"3" "IPSL-CM6A-LR" 2021 416.842961428652 2037 453.765968215321 NA NA NA NA
"4" "MIROC6" 2057 479.543984163415 NA NA NA NA NA NA
"5" "MRI-ESM2-0" 2029 436.926963231702 2049 471.819977985985 NA NA NA NA
"6" "UKESM1-0-LL" 2024 424.762962104793 2033 445.826965496367 2061 482.721987197718 NA NA
