"modname" "year_1.5" "conc_1.5" "year_2" "conc_2"
"1" "ACCESS-CM2" 2027 432.597963757522 2042 461.018973689855
"2" "ACCESS-ESM1-5" 2033 445.989966743538 2076 470.413997370838
"3" "BCC-CSM2-MR" 2045 464.682975891998 NA NA
"4" "CAMS-CSM1-0" NA NA NA NA
"5" "CanESM5" 2013 395.724975585938 2026 430.165963544825
"6" "CESM2" 2027 432.597963757522 2045 464.682975891998
"7" "CESM2-WACCM" 2021 417.041962481353 2038 455.091970656514
"8" "CNRM-CM6-1" 2027 432.597963757522 2060 473.749986314787
"9" "CNRM-CM6-1-HR" 2016 403.116962821214 2028 434.97396397027
"10" "CNRM-ESM2-1" 2050 469.309979555035 NA NA
"11" "EC-Earth3-Veg" 2010 388.717041015625 2027 432.597963757522
"12" "GFDL-ESM4" NA NA NA NA
"13" "GISS-E2-1-G" 2022 419.808962694055 2033 445.989966743538
"14" "HadGEM3-GC31-LL" 2022 419.808962694055 2039 456.683971439086
"15" "INM-CM4-8" 2048 467.677978094224 NA NA
"16" "INM-CM5-0" 2038 455.091970656514 NA NA
"17" "IPSL-CM6A-LR" 2023 422.498962906748 2041 459.646972955757
"18" "MCM-UA-1-0" 2021 417.041962481353 2047 466.752977360175
"19" "MIROC-ES2L" 2047 466.752977360175 NA NA
"20" "MIROC6" 2063 473.998988180136 NA NA
"21" "MPI-ESM1-2-HR" 2042 461.018973689855 NA NA
"22" "MPI-ESM1-2-LR" 2043 462.314974423894 NA NA
"23" "MRI-ESM2-0" 2028 434.97396397027 NA NA
"24" "NorESM2-LM" NA NA NA NA
"25" "NorESM2-MM" NA NA NA NA
"26" "UKESM1-0-LL" 2023 422.498962906748 2036 451.684969091289
