"modname" "year_1.5" "conc_1.5" "year_2" "conc_2" "year_3" "conc_3" "year_4" "conc_4"
"1" "CanESM5" 2012 393.015991210938 2023 422.441959195434 2042 486.032951986624 2064 567.786953704769
"2" "CNRM-ESM2-1" 2038 471.520952526808 2056 538.012952420397 2082 628.462962228791 NA NA
"3" "IPSL-CM6A-LR" 2021 416.842960533995 2037 467.972952774805 2061 556.66795304694 2089 646.668967023596
"4" "MIROC6" 2043 489.702951964462 2062 560.390953266268 NA NA NA NA
"5" "MRI-ESM2-0" 2026 431.307957187576 2043 489.702951964462 2086 639.282964968785 NA NA
