"modname" "year_1.5" "conc_1.5" "year_2" "conc_2" "year_3" "conc_3" "year_4" "conc_4"
"1" "ACCESS-CM2" 2027 439.66995184851 2039 488.771943740113 2062 604.42393412094 2082 729.67892659209
"2" "ACCESS-ESM1-5" 2036 475.764945583882 2050 540.580938355024 2070 651.543931199313 NA NA
"3" "BCC-CSM2-MR" 2034 467.36494681303 2048 530.691939296207 2075 682.984929373686 NA NA
"4" "BCC-ESM1" 2043 506.900941689537 NA NA NA NA NA NA
"5" "CAMS-CSM1-0" 2044 511.556941210943 2063 610.10693375563 NA NA NA NA
"6" "CanESM5" 2013 395.724975585938 2023 425.282955284773 2043 506.900941689537 2059 587.718935199915
"7" "CESM2" 2026 435.974952707572 2043 506.900941689537 2067 633.422932294845 2085 750.763925158282
"8" "CESM2-WACCM" 2028 443.431950989504 2041 497.730942646863 2063 610.10693375563 2085 750.763925158282
"9" "CNRM-CM6-1" 2032 459.165948042206 2045 516.263940732164 2066 627.504932660236 2084 743.656925636196
"10" "CNRM-CM6-1-HR" 2017 405.81296097055 2030 451.163949301999 2056 571.525936246262 2075 682.984929373686
"11" "CNRM-ESM2-1" 2038 484.379944354737 2052 550.690937641368 2073 670.221930103793 2089 779.983923246266
"12" "EC-Earth3-Veg" 2008 384.739013671875 2029 447.262950130443 2056 571.525936246262 2075 682.984929373686
"13" "GFDL-ESM4" 2041 497.730942646863 2057 576.867935897547 2083 736.628926114069 NA NA
"14" "GISS-E2-1-G" 2023 425.282955284773 2037 480.044944969356 2068 639.401931929811 NA NA
"15" "INM-CM4-8" 2035 471.5389461985 2052 550.690937641368 2082 729.67892659209 NA NA
"16" "INM-CM5-0" 2032 459.165948042206 2050 540.580938355024 2084 743.656925636196 NA NA
"17" "IPSL-CM6A-LR" 2023 425.282955284773 2036 475.764945583882 2057 576.867935897547 2078 702.605928278332
"18" "MCM-UA-1-0" 2022 421.842956143837 2038 484.379944354737 2069 645.441931564658 NA NA
"19" "MIROC-ES2L" 2041 497.730942646863 2058 582.265935548708 2087 765.215924202158 NA NA
"20" "MIROC6" 2043 506.900941689537 2059 587.718935199915 NA NA NA NA
"21" "MPI-ESM-1-2-HAM" 2043 506.900941689537 NA NA NA NA NA NA
"22" "MPI-ESM1-2-HR" 2034 467.36494681303 2050 540.580938355024 2082 729.67892659209 NA NA
"23" "MPI-ESM1-2-LR" 2036 475.764945583882 2052 550.690937641368 2079 709.27492791329 NA NA
"24" "MRI-ESM2-0" 2030 451.163949301999 2044 511.556941210943 2072 663.933930468902 NA NA
"25" "NorESM2-LM" 2050 540.580938355024 2067 633.422932294845 NA NA NA NA
"26" "NorESM2-MM" 2048 530.691939296207 2064 615.846933390516 NA NA NA NA
"27" "UKESM1-0-LL" 2022 421.842956143837 2031 455.135948656847 2049 535.608938817459 2069 645.441931564658
