"modname" "year_1.5" "conc_1.5" "year_2" "conc_2"
"1" "CAMS-CSM1-0" NA NA NA NA
"2" "CanESM5" 2012 393.015991210938 2025 426.524969562405
"3" "CNRM-ESM2-1" 2074 420.584003485858 NA NA
"4" "EC-Earth3-Veg" 2009 386.280029296875 2026 428.425970999116
"5" "GFDL-ESM4" NA NA NA NA
"6" "IPSL-CM6A-LR" 2022 419.698965252094 2043 440.026992349417
"7" "MIROC-ES2L" NA NA NA NA
"8" "MIROC6" NA NA NA NA
"9" "MRI-ESM2-0" 2028 431.705973872685 NA NA
"10" "UKESM1-0-LL" 2024 424.442968125621 2039 440.058989069343
